angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,0.0
sum_dist_for_angle_15,84.5
sum_dist_for_angle_20,84.5
sum_dist_for_angle_25,84.5
sum_dist_for_angle_30,84.5
sum_dist_for_angle_35,84.5
sum_dist_for_angle_40,84.5
sum_dist_for_angle_45,84.5
sum_dist_for_angle_50,84.5
sum_dist_for_angle_55,84.5
sum_dist_for_angle_60,84.5
sum_dist_for_angle_65,84.5
sum_dist_for_angle_70,84.5
sum_dist_for_angle_75,84.5
sum_dist_for_angle_80,84.5
sum_dist_for_angle_85,84.5
sum_dist_for_angle_90,84.5
sum_dist_for_angle_95,84.5
sum_dist_for_angle_100,84.5
sum_dist_for_angle_105,84.5
sum_dist_for_angle_110,84.5
sum_dist_for_angle_115,84.5
sum_dist_for_angle_120,84.5
sum_dist_for_angle_125,84.5
sum_dist_for_angle_130,84.5
sum_dist_for_angle_135,84.5
sum_dist_for_angle_140,84.5
sum_dist_for_angle_145,84.5
sum_dist_for_angle_150,84.5
sum_dist_for_angle_155,84.5
sum_dist_for_angle_160,84.5
sum_dist_for_angle_165,84.5
sum_dist_for_angle_170,84.5
sum_dist_for_angle_175,84.5
sum_dist_for_angle_180,84.5
sum_dist_for_angle_185,84.5
sum_dist_for_angle_190,84.5
sum_dist_for_angle_195,84.5
sum_dist_for_angle_200,84.5
sum_dist_for_angle_205,84.5
sum_dist_for_angle_210,84.5
sum_dist_for_angle_215,84.5
sum_dist_for_angle_220,84.5
sum_dist_for_angle_225,84.5
sum_dist_for_angle_230,84.5
sum_dist_for_angle_235,84.5
sum_dist_for_angle_240,84.5
sum_dist_for_angle_245,84.5
sum_dist_for_angle_250,85.0
